rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-16.00001,2000-01-01_2001-01-01,98000.0,0.0905,4.7839,8871.0,468825.0,8e-06,0.000399,0.0769,4.0664,1.0,1.0,0.0,0.0,16
RGI60-16.00001,2000-01-01_2002-01-01,98000.0,0.0781,2.4274,7654.0,237890.0,7e-06,0.000202,0.0664,2.0634,1.0,1.0,3.0,1.0,16
RGI60-16.00001,2000-01-01_2004-01-01,98000.0,0.0586,1.184,5741.0,116042.0,5e-06,9.9e-05,0.0498,1.0066,1.0,1.0,6.0,2.0,16
RGI60-16.00001,2000-01-01_2005-01-01,98000.0,0.0348,0.9483,3413.0,92936.0,3e-06,7.9e-05,0.0296,0.8061,1.0,1.0,9.91,3.0,16
RGI60-16.00001,2000-01-01_2010-01-01,98000.0,-0.0642,0.4807,-6293.0,47127.0,-5e-06,4e-05,-0.0546,0.409,1.0,1.0,18.91,6.0,16
RGI60-16.00001,2000-01-01_2020-01-01,98000.0,-0.23,0.2504,-22542.0,25111.0,-1.9e-05,2.1e-05,-0.1955,0.223,1.0,1.0,37.55,14.91,16
RGI60-16.00001,2001-01-01_2002-01-01,98000.0,0.0657,4.5789,6438.0,448733.0,5e-06,0.000381,0.0558,3.8921,1.0,1.0,3.0,1.0,16
RGI60-16.00001,2002-01-01_2003-01-01,98000.0,0.0558,4.5596,5473.0,446847.0,5e-06,0.00038,0.0475,3.8757,1.0,1.0,0.0,0.0,16
RGI60-16.00001,2002-01-01_2004-01-01,98000.0,0.0391,2.2645,3827.0,221918.0,3e-06,0.000189,0.0332,1.9248,1.0,1.0,3.0,1.0,16
RGI60-16.00001,2003-01-01_2004-01-01,98000.0,0.0223,4.4331,2181.0,434441.0,2e-06,0.000369,0.0189,3.7681,1.0,1.0,3.0,1.0,16
RGI60-16.00001,2004-01-01_2005-01-01,98000.0,-0.0602,4.4073,-5897.0,431914.0,-5e-06,0.000367,-0.0511,3.7462,1.0,1.0,3.91,1.0,16
RGI60-16.00001,2004-01-01_2006-01-01,98000.0,-0.0846,2.19,-8289.0,214630.0,-7e-06,0.000182,-0.0719,1.8617,1.0,1.0,6.91,2.0,16
RGI60-16.00001,2004-01-01_2008-01-01,98000.0,-0.1365,1.0859,-13379.0,106464.0,-1.1e-05,9e-05,-0.116,0.9239,1.0,1.0,9.91,3.0,16
RGI60-16.00001,2005-01-01_2006-01-01,98000.0,-0.109,4.3859,-10682.0,429822.0,-9e-06,0.000365,-0.0927,3.7281,1.0,1.0,3.0,1.0,16
RGI60-16.00001,2005-01-01_2010-01-01,98000.0,-0.1633,0.8966,-15999.0,87945.0,-1.4e-05,7.5e-05,-0.1388,0.7636,1.0,1.0,9.0,3.0,16
RGI60-16.00001,2006-01-01_2007-01-01,98000.0,-0.1541,4.3564,-15103.0,426945.0,-1.3e-05,0.000363,-0.131,3.7032,1.0,1.0,0.0,0.0,16
RGI60-16.00001,2006-01-01_2008-01-01,98000.0,-0.1885,2.1609,-18469.0,211815.0,-1.6e-05,0.00018,-0.1602,1.8376,1.0,1.0,3.0,1.0,16
RGI60-16.00001,2007-01-01_2008-01-01,98000.0,-0.2228,4.3198,-21835.0,423369.0,-1.9e-05,0.00036,-0.1894,3.6724,1.0,1.0,3.0,1.0,16
RGI60-16.00001,2008-01-01_2009-01-01,98000.0,-0.1696,4.3065,-16618.0,422054.0,-1.4e-05,0.000359,-0.1441,3.6608,1.0,1.0,3.0,1.0,16
RGI60-16.00001,2008-01-01_2010-01-01,98000.0,-0.1652,2.2101,-16187.0,216626.0,-1.4e-05,0.000184,-0.1404,1.8792,1.0,1.0,3.0,1.0,16
RGI60-16.00001,2008-01-01_2012-01-01,98000.0,-0.2039,1.0769,-19986.0,105640.0,-1.7e-05,9e-05,-0.1734,0.9173,1.0,1.0,7.0,3.0,16
RGI60-16.00001,2009-01-01_2010-01-01,98000.0,-0.1608,4.4412,-15756.0,435253.0,-1.3e-05,0.00037,-0.1367,3.7753,1.0,1.0,0.0,0.0,16
RGI60-16.00001,2010-01-01_2011-01-01,98000.0,-0.234,4.445,-22935.0,435642.0,-1.9e-05,0.00037,-0.1989,3.7788,1.0,1.0,1.0,1.0,16
RGI60-16.00001,2010-01-01_2012-01-01,98000.0,-0.2427,2.2211,-23786.0,217741.0,-2e-05,0.000185,-0.2063,1.8893,1.0,1.0,4.0,2.0,16
RGI60-16.00001,2010-01-01_2015-01-01,98000.0,-0.31,0.8987,-30376.0,88359.0,-2.6e-05,7.5e-05,-0.2635,0.7691,1.0,1.0,12.36,5.0,16
RGI60-16.00001,2010-01-01_2020-01-01,98000.0,-0.3958,0.4765,-38792.0,47580.0,-3.3e-05,4.1e-05,-0.3365,0.4209,1.0,1.0,18.64,8.91,16
RGI60-16.00001,2011-01-01_2012-01-01,98000.0,-0.2514,4.3329,-24637.0,424666.0,-2.1e-05,0.000361,-0.2137,3.6837,1.0,1.0,3.0,1.0,16
RGI60-16.00001,2012-01-01_2013-01-01,98000.0,-0.319,4.3413,-31264.0,425515.0,-2.7e-05,0.000362,-0.2712,3.6913,1.0,1.0,3.27,1.0,16
RGI60-16.00001,2012-01-01_2014-01-01,98000.0,-0.3264,2.1692,-31989.0,212718.0,-2.7e-05,0.000181,-0.2775,1.8463,1.0,1.0,5.27,2.0,16
RGI60-16.00001,2012-01-01_2016-01-01,98000.0,-0.3882,1.1287,-38048.0,110975.0,-3.2e-05,9.4e-05,-0.33,0.966,1.0,1.0,10.64,4.0,16
RGI60-16.00001,2013-01-01_2014-01-01,98000.0,-0.3338,4.3497,-32714.0,426338.0,-2.8e-05,0.000362,-0.2837,3.6985,1.0,1.0,2.0,1.0,16
RGI60-16.00001,2014-01-01_2015-01-01,98000.0,-0.4115,4.3907,-40330.0,430397.0,-3.4e-05,0.000366,-0.3498,3.734,1.0,1.0,3.09,1.0,16
RGI60-16.00001,2014-01-01_2016-01-01,98000.0,-0.4501,2.2614,-44107.0,221862.0,-3.7e-05,0.000189,-0.3826,1.9266,1.0,1.0,5.36,2.0,16
RGI60-16.00001,2015-01-01_2016-01-01,98000.0,-0.4886,4.5651,-47885.0,447518.0,-4.1e-05,0.00038,-0.4153,3.8829,1.0,1.0,2.27,1.0,16
RGI60-16.00001,2015-01-01_2020-01-01,98000.0,-0.4817,0.9418,-47208.0,92965.0,-4e-05,7.9e-05,-0.4095,0.8126,1.0,1.0,6.27,3.91,16
RGI60-16.00001,2016-01-01_2017-01-01,98000.0,-0.4461,4.6185,-43716.0,452726.0,-3.7e-05,0.000385,-0.3792,3.9278,1.0,1.0,1.0,0.91,16
RGI60-16.00001,2016-01-01_2018-01-01,98000.0,-0.4615,2.3192,-45232.0,227530.0,-3.8e-05,0.000193,-0.3923,1.9758,1.0,1.0,3.0,1.91,16
RGI60-16.00001,2016-01-01_2020-01-01,98000.0,-0.48,1.2081,-47039.0,118912.0,-4e-05,0.000101,-0.408,1.0362,1.0,1.0,4.0,2.91,16
